,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Blake Griffin,1,20
1,Blake Griffin,2,34
2,Blake Griffin,3,50
3,Blake Griffin,4,67
4,Blake Griffin,5,85
5,Blake Griffin,6,111
6,Blake Griffin,7,127
7,Blake Griffin,8,137
8,Blake Griffin,9,148
9,Blake Griffin,10,166
10,Blake Griffin,11,177
11,Blake Griffin,12,203
12,Blake Griffin,13,215
13,Blake Griffin,14,259
14,Blake Griffin,15,283
15,Blake Griffin,16,308
16,Blake Griffin,17,328
17,Blake Griffin,18,363
18,Blake Griffin,19,394
19,Blake Griffin,20,411
20,Blake Griffin,21,432
21,Blake Griffin,22,445
22,Blake Griffin,23,461
23,Blake Griffin,24,480
24,Blake Griffin,25,507
25,Blake Griffin,26,527
26,Blake Griffin,27,551
27,Blake Griffin,28,580
28,Blake Griffin,29,602
29,Blake Griffin,30,626
30,Blake Griffin,31,654
31,Blake Griffin,32,678
32,Blake Griffin,33,708
33,Blake Griffin,34,739
34,Blake Griffin,35,761
35,Blake Griffin,36,784
36,Blake Griffin,37,808
37,Blake Griffin,38,836
38,Blake Griffin,39,854
39,Blake Griffin,40,901
40,Blake Griffin,41,930
41,Blake Griffin,42,950
42,Blake Griffin,43,980
43,Blake Griffin,44,1002
44,Blake Griffin,45,1016
45,Blake Griffin,46,1040
46,Blake Griffin,47,1072
47,Blake Griffin,48,1104
48,Blake Griffin,49,1123
49,Blake Griffin,50,1144
50,Blake Griffin,51,1154
51,Blake Griffin,52,1175
52,Blake Griffin,53,1207
53,Blake Griffin,54,1228
54,Blake Griffin,55,1247
55,Blake Griffin,56,1276
56,Blake Griffin,57,1304
57,Blake Griffin,58,1325
58,Blake Griffin,59,1347
59,Blake Griffin,60,1368
60,Blake Griffin,61,1395
61,Blake Griffin,62,1415
62,Blake Griffin,63,1433
63,Blake Griffin,64,1450
64,Blake Griffin,65,1462
65,Blake Griffin,66,1485
66,Blake Griffin,67,1511
67,Blake Griffin,68,1519
68,Blake Griffin,69,1533
69,Blake Griffin,70,1563
70,Blake Griffin,71,1580
71,Blake Griffin,72,1613
72,Blake Griffin,73,1635
73,Blake Griffin,74,1657
74,Blake Griffin,75,1682
75,Blake Griffin,76,1702
76,Blake Griffin,77,1728
77,Blake Griffin,78,1743
78,Blake Griffin,79,1778
79,Blake Griffin,80,1801
80,Blake Griffin,81,1814
81,Blake Griffin,82,1845
82,Blake Griffin,83,1867
83,Blake Griffin,84,1895
84,Blake Griffin,85,1929
85,Blake Griffin,86,1949
86,Blake Griffin,87,1971
87,Blake Griffin,88,1993
88,Blake Griffin,89,2011
89,Blake Griffin,90,2031
90,Blake Griffin,91,2053
91,Blake Griffin,92,2076
92,Blake Griffin,93,2086
93,Blake Griffin,94,2100
94,Blake Griffin,95,2121
95,Blake Griffin,96,2139
96,Blake Griffin,97,2165
97,Blake Griffin,98,2185
98,Blake Griffin,99,2202
99,Blake Griffin,100,2224
100,Blake Griffin,101,2255
101,Blake Griffin,102,2273
102,Blake Griffin,103,2294
103,Blake Griffin,104,2312
104,Blake Griffin,105,2337
105,Blake Griffin,106,2353
106,Blake Griffin,107,2374
107,Blake Griffin,108,2394
108,Blake Griffin,109,2417
109,Blake Griffin,110,2438
110,Blake Griffin,111,2460
111,Blake Griffin,112,2481
112,Blake Griffin,113,2508
113,Blake Griffin,114,2538
114,Blake Griffin,115,2552
115,Blake Griffin,116,2569
116,Blake Griffin,117,2583
117,Blake Griffin,118,2609
118,Blake Griffin,119,2637
119,Blake Griffin,120,2652
120,Blake Griffin,121,2679
121,Blake Griffin,122,2703
122,Blake Griffin,123,2715
123,Blake Griffin,124,2740
124,Blake Griffin,125,2758
125,Blake Griffin,126,2775
126,Blake Griffin,127,2798
127,Blake Griffin,128,2805
128,Blake Griffin,129,2826
129,Blake Griffin,130,2846
130,Blake Griffin,131,2866
131,Blake Griffin,132,2893
132,Blake Griffin,133,2913
133,Blake Griffin,134,2937
134,Blake Griffin,135,2952
135,Blake Griffin,136,2967
136,Blake Griffin,137,2981
137,Blake Griffin,138,3008
138,Blake Griffin,139,3027
139,Blake Griffin,140,3043
140,Blake Griffin,141,3062
141,Blake Griffin,142,3082
142,Blake Griffin,143,3099
143,Blake Griffin,144,3111
144,Blake Griffin,145,3127
145,Blake Griffin,146,3148
146,Blake Griffin,147,3184
147,Blake Griffin,148,3213
148,Blake Griffin,149,3224
149,Blake Griffin,150,3239
150,Blake Griffin,151,3258
