,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Carmelo Anthony,1,12
1,Carmelo Anthony,2,30
2,Carmelo Anthony,3,53
3,Carmelo Anthony,4,55
4,Carmelo Anthony,5,69
5,Carmelo Anthony,6,99
6,Carmelo Anthony,7,118
7,Carmelo Anthony,8,144
8,Carmelo Anthony,9,161
9,Carmelo Anthony,10,171
10,Carmelo Anthony,11,184
11,Carmelo Anthony,12,207
12,Carmelo Anthony,13,223
13,Carmelo Anthony,14,240
14,Carmelo Anthony,15,266
15,Carmelo Anthony,16,278
16,Carmelo Anthony,17,304
17,Carmelo Anthony,18,330
18,Carmelo Anthony,19,358
19,Carmelo Anthony,20,375
20,Carmelo Anthony,21,388
21,Carmelo Anthony,22,403
22,Carmelo Anthony,23,428
23,Carmelo Anthony,24,449
24,Carmelo Anthony,25,463
25,Carmelo Anthony,26,487
26,Carmelo Anthony,27,499
27,Carmelo Anthony,28,514
28,Carmelo Anthony,29,551
29,Carmelo Anthony,30,561
30,Carmelo Anthony,31,580
31,Carmelo Anthony,32,592
32,Carmelo Anthony,33,600
33,Carmelo Anthony,34,626
34,Carmelo Anthony,35,635
35,Carmelo Anthony,36,655
36,Carmelo Anthony,37,682
37,Carmelo Anthony,38,704
38,Carmelo Anthony,39,717
39,Carmelo Anthony,40,731
40,Carmelo Anthony,41,742
41,Carmelo Anthony,42,773
42,Carmelo Anthony,43,787
43,Carmelo Anthony,44,801
44,Carmelo Anthony,45,825
45,Carmelo Anthony,46,850
46,Carmelo Anthony,47,864
47,Carmelo Anthony,48,885
48,Carmelo Anthony,49,911
49,Carmelo Anthony,50,950
50,Carmelo Anthony,51,974
51,Carmelo Anthony,52,998
52,Carmelo Anthony,53,1018
53,Carmelo Anthony,54,1045
54,Carmelo Anthony,55,1073
55,Carmelo Anthony,56,1108
56,Carmelo Anthony,57,1124
57,Carmelo Anthony,58,1150
58,Carmelo Anthony,59,1185
59,Carmelo Anthony,60,1211
60,Carmelo Anthony,61,1236
61,Carmelo Anthony,62,1262
62,Carmelo Anthony,63,1270
63,Carmelo Anthony,64,1299
64,Carmelo Anthony,65,1325
65,Carmelo Anthony,66,1349
66,Carmelo Anthony,67,1380
67,Carmelo Anthony,68,1403
68,Carmelo Anthony,69,1423
69,Carmelo Anthony,70,1443
70,Carmelo Anthony,71,1456
71,Carmelo Anthony,72,1478
72,Carmelo Anthony,73,1503
73,Carmelo Anthony,74,1524
74,Carmelo Anthony,75,1549
75,Carmelo Anthony,76,1590
76,Carmelo Anthony,77,1610
77,Carmelo Anthony,78,1646
78,Carmelo Anthony,79,1666
79,Carmelo Anthony,80,1696
80,Carmelo Anthony,81,1713
