,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Damian Lillard,1,23
1,Damian Lillard,2,44
2,Damian Lillard,3,64
3,Damian Lillard,4,77
4,Damian Lillard,5,93
5,Damian Lillard,6,113
6,Damian Lillard,7,125
7,Damian Lillard,8,147
8,Damian Lillard,9,174
9,Damian Lillard,10,190
10,Damian Lillard,11,214
11,Damian Lillard,12,242
12,Damian Lillard,13,255
13,Damian Lillard,14,267
14,Damian Lillard,15,287
15,Damian Lillard,16,295
16,Damian Lillard,17,319
17,Damian Lillard,18,343
18,Damian Lillard,19,366
19,Damian Lillard,20,378
20,Damian Lillard,21,387
21,Damian Lillard,22,416
22,Damian Lillard,23,432
23,Damian Lillard,24,444
24,Damian Lillard,25,469
25,Damian Lillard,26,484
26,Damian Lillard,27,501
27,Damian Lillard,28,512
28,Damian Lillard,29,532
29,Damian Lillard,30,553
30,Damian Lillard,31,571
31,Damian Lillard,32,582
32,Damian Lillard,33,602
33,Damian Lillard,34,620
34,Damian Lillard,35,630
35,Damian Lillard,36,667
36,Damian Lillard,37,676
37,Damian Lillard,38,690
38,Damian Lillard,39,703
39,Damian Lillard,40,729
40,Damian Lillard,41,747
41,Damian Lillard,42,767
42,Damian Lillard,43,787
43,Damian Lillard,44,803
44,Damian Lillard,45,813
45,Damian Lillard,46,839
46,Damian Lillard,47,862
47,Damian Lillard,48,883
48,Damian Lillard,49,902
49,Damian Lillard,50,920
50,Damian Lillard,51,924
51,Damian Lillard,52,957
52,Damian Lillard,53,969
53,Damian Lillard,54,993
54,Damian Lillard,55,1012
55,Damian Lillard,56,1024
56,Damian Lillard,57,1050
57,Damian Lillard,58,1074
58,Damian Lillard,59,1094
59,Damian Lillard,60,1114
60,Damian Lillard,61,1149
61,Damian Lillard,62,1169
62,Damian Lillard,63,1196
63,Damian Lillard,64,1222
64,Damian Lillard,65,1236
65,Damian Lillard,66,1263
66,Damian Lillard,67,1271
67,Damian Lillard,68,1295
68,Damian Lillard,69,1317
69,Damian Lillard,70,1336
70,Damian Lillard,71,1351
71,Damian Lillard,72,1375
72,Damian Lillard,73,1391
73,Damian Lillard,74,1408
74,Damian Lillard,75,1425
75,Damian Lillard,76,1436
76,Damian Lillard,77,1451
77,Damian Lillard,78,1489
78,Damian Lillard,79,1499
79,Damian Lillard,80,1529
80,Damian Lillard,81,1541
81,Damian Lillard,82,1562
82,Damian Lillard,83,1594
83,Damian Lillard,84,1612
84,Damian Lillard,85,1637
85,Damian Lillard,86,1659
86,Damian Lillard,87,1681
87,Damian Lillard,88,1685
88,Damian Lillard,89,1710
89,Damian Lillard,90,1721
90,Damian Lillard,91,1738
91,Damian Lillard,92,1763
92,Damian Lillard,93,1782
93,Damian Lillard,94,1801
94,Damian Lillard,95,1821
95,Damian Lillard,96,1841
96,Damian Lillard,97,1864
97,Damian Lillard,98,1880
98,Damian Lillard,99,1906
99,Damian Lillard,100,1932
100,Damian Lillard,101,1946
101,Damian Lillard,102,1967
102,Damian Lillard,103,1999
103,Damian Lillard,104,2017
104,Damian Lillard,105,2025
105,Damian Lillard,106,2041
106,Damian Lillard,107,2064
107,Damian Lillard,108,2100
108,Damian Lillard,109,2136
109,Damian Lillard,110,2165
110,Damian Lillard,111,2179
111,Damian Lillard,112,2195
112,Damian Lillard,113,2224
113,Damian Lillard,114,2245
114,Damian Lillard,115,2269
115,Damian Lillard,116,2286
116,Damian Lillard,117,2327
117,Damian Lillard,118,2338
118,Damian Lillard,119,2353
119,Damian Lillard,120,2381
120,Damian Lillard,121,2402
121,Damian Lillard,122,2416
122,Damian Lillard,123,2440
123,Damian Lillard,124,2454
124,Damian Lillard,125,2465
125,Damian Lillard,126,2479
126,Damian Lillard,127,2495
127,Damian Lillard,128,2511
128,Damian Lillard,129,2532
129,Damian Lillard,130,2557
130,Damian Lillard,131,2569
131,Damian Lillard,132,2607
132,Damian Lillard,133,2621
133,Damian Lillard,134,2637
134,Damian Lillard,135,2658
135,Damian Lillard,136,2689
136,Damian Lillard,137,2717
137,Damian Lillard,138,2749
138,Damian Lillard,139,2780
139,Damian Lillard,140,2794
140,Damian Lillard,141,2811
141,Damian Lillard,142,2831
142,Damian Lillard,143,2843
143,Damian Lillard,144,2853
144,Damian Lillard,145,2874
145,Damian Lillard,146,2906
146,Damian Lillard,147,2929
147,Damian Lillard,148,2956
148,Damian Lillard,149,2982
149,Damian Lillard,150,3002
150,Damian Lillard,151,3025
151,Damian Lillard,152,3045
152,Damian Lillard,153,3064
153,Damian Lillard,154,3081
154,Damian Lillard,155,3102
155,Damian Lillard,156,3118
156,Damian Lillard,157,3131
157,Damian Lillard,158,3165
158,Damian Lillard,159,3180
159,Damian Lillard,160,3200
160,Damian Lillard,161,3219
161,Damian Lillard,162,3235
162,Damian Lillard,163,3248
163,Damian Lillard,164,3257
164,Damian Lillard,165,3267
165,Damian Lillard,166,3287
166,Damian Lillard,167,3298
167,Damian Lillard,168,3325
168,Damian Lillard,169,3343
169,Damian Lillard,170,3368
170,Damian Lillard,171,3379
171,Damian Lillard,172,3408
172,Damian Lillard,173,3435
173,Damian Lillard,174,3463
174,Damian Lillard,175,3487
175,Damian Lillard,176,3508
176,Damian Lillard,177,3520
177,Damian Lillard,178,3536
178,Damian Lillard,179,3558
179,Damian Lillard,180,3578
180,Damian Lillard,181,3595
181,Damian Lillard,182,3612
182,Damian Lillard,183,3635
183,Damian Lillard,184,3655
184,Damian Lillard,185,3669
185,Damian Lillard,186,3692
186,Damian Lillard,187,3727
187,Damian Lillard,188,3745
188,Damian Lillard,189,3768
189,Damian Lillard,190,3797
190,Damian Lillard,191,3840
191,Damian Lillard,192,3857
192,Damian Lillard,193,3875
193,Damian Lillard,194,3915
194,Damian Lillard,195,3943
195,Damian Lillard,196,3954
196,Damian Lillard,197,3980
197,Damian Lillard,198,3996
198,Damian Lillard,199,4035
199,Damian Lillard,200,4051
200,Damian Lillard,201,4067
201,Damian Lillard,202,4101
202,Damian Lillard,203,4116
203,Damian Lillard,204,4139
204,Damian Lillard,205,4162
205,Damian Lillard,206,4184
206,Damian Lillard,207,4206
207,Damian Lillard,208,4227
208,Damian Lillard,209,4247
209,Damian Lillard,210,4261
210,Damian Lillard,211,4274
211,Damian Lillard,212,4293
212,Damian Lillard,213,4318
213,Damian Lillard,214,4331
214,Damian Lillard,215,4357
215,Damian Lillard,216,4380
216,Damian Lillard,217,4395
217,Damian Lillard,218,4414
218,Damian Lillard,219,4432
219,Damian Lillard,220,4450
220,Damian Lillard,221,4479
221,Damian Lillard,222,4510
222,Damian Lillard,223,4515
223,Damian Lillard,224,4529
224,Damian Lillard,225,4561
225,Damian Lillard,226,4575
226,Damian Lillard,227,4603
227,Damian Lillard,228,4626
228,Damian Lillard,229,4640
229,Damian Lillard,230,4657
230,Damian Lillard,231,4675
231,Damian Lillard,232,4702
232,Damian Lillard,233,4731
233,Damian Lillard,234,4754
234,Damian Lillard,235,4765
235,Damian Lillard,236,4773
236,Damian Lillard,237,4792
237,Damian Lillard,238,4810
238,Damian Lillard,239,4830
239,Damian Lillard,240,4849
240,Damian Lillard,241,4885
241,Damian Lillard,242,4902
242,Damian Lillard,243,4922
243,Damian Lillard,244,4950
244,Damian Lillard,245,4960
245,Damian Lillard,246,4977
246,Damian Lillard,247,4998
247,Damian Lillard,248,5022
248,Damian Lillard,249,5045
249,Damian Lillard,250,5079
250,Damian Lillard,251,5114
251,Damian Lillard,252,5141
252,Damian Lillard,253,5167
253,Damian Lillard,254,5197
254,Damian Lillard,255,5219
255,Damian Lillard,256,5230
256,Damian Lillard,257,5253
257,Damian Lillard,258,5280
258,Damian Lillard,259,5303
259,Damian Lillard,260,5330
260,Damian Lillard,261,5360
261,Damian Lillard,262,5379
262,Damian Lillard,263,5408
263,Damian Lillard,264,5415
264,Damian Lillard,265,5440
265,Damian Lillard,266,5466
266,Damian Lillard,267,5485
267,Damian Lillard,268,5508
268,Damian Lillard,269,5541
269,Damian Lillard,270,5559
270,Damian Lillard,271,5588
271,Damian Lillard,272,5618
272,Damian Lillard,273,5638
273,Damian Lillard,274,5657
274,Damian Lillard,275,5689
275,Damian Lillard,276,5706
276,Damian Lillard,277,5726
277,Damian Lillard,278,5766
278,Damian Lillard,279,5797
279,Damian Lillard,280,5818
280,Damian Lillard,281,5851
281,Damian Lillard,282,5865
282,Damian Lillard,283,5881
283,Damian Lillard,284,5899
284,Damian Lillard,285,5935
285,Damian Lillard,286,5950
286,Damian Lillard,287,5972
287,Damian Lillard,288,5993
288,Damian Lillard,289,6007
289,Damian Lillard,290,6034
290,Damian Lillard,291,6055
291,Damian Lillard,292,6088
292,Damian Lillard,293,6119
293,Damian Lillard,294,6170
294,Damian Lillard,295,6200
295,Damian Lillard,296,6234
296,Damian Lillard,297,6257
297,Damian Lillard,298,6288
298,Damian Lillard,299,6321
299,Damian Lillard,300,6351
300,Damian Lillard,301,6371
301,Damian Lillard,302,6421
302,Damian Lillard,303,6447
303,Damian Lillard,304,6488
304,Damian Lillard,305,6505
305,Damian Lillard,306,6524
306,Damian Lillard,307,6545
307,Damian Lillard,308,6568
308,Damian Lillard,309,6601
309,Damian Lillard,310,6627
310,Damian Lillard,311,6654
311,Damian Lillard,312,6672
312,Damian Lillard,313,6688
313,Damian Lillard,314,6701
314,Damian Lillard,315,6715
315,Damian Lillard,316,6733
316,Damian Lillard,317,6771
317,Damian Lillard,318,6793
318,Damian Lillard,319,6804
319,Damian Lillard,320,6835
320,Damian Lillard,321,6856
321,Damian Lillard,322,6895
322,Damian Lillard,323,6924
323,Damian Lillard,324,6961
324,Damian Lillard,325,6992
325,Damian Lillard,326,7019
326,Damian Lillard,327,7061
327,Damian Lillard,328,7080
328,Damian Lillard,329,7118
329,Damian Lillard,330,7126
330,Damian Lillard,331,7162
331,Damian Lillard,332,7194
332,Damian Lillard,333,7213
333,Damian Lillard,334,7231
334,Damian Lillard,335,7258
335,Damian Lillard,336,7276
336,Damian Lillard,337,7298
337,Damian Lillard,338,7338
338,Damian Lillard,339,7365
339,Damian Lillard,340,7392
340,Damian Lillard,341,7420
341,Damian Lillard,342,7439
342,Damian Lillard,343,7469
343,Damian Lillard,344,7499
344,Damian Lillard,345,7518
345,Damian Lillard,346,7551
346,Damian Lillard,347,7575
347,Damian Lillard,348,7592
348,Damian Lillard,349,7632
349,Damian Lillard,350,7652
350,Damian Lillard,351,7676
351,Damian Lillard,352,7705
352,Damian Lillard,353,7721
353,Damian Lillard,354,7742
354,Damian Lillard,355,7762
355,Damian Lillard,356,7782
356,Damian Lillard,357,7796
357,Damian Lillard,358,7830
358,Damian Lillard,359,7852
359,Damian Lillard,360,7873
360,Damian Lillard,361,7903
361,Damian Lillard,362,7931
362,Damian Lillard,363,7955
363,Damian Lillard,364,7988
364,Damian Lillard,365,8007
365,Damian Lillard,366,8034
366,Damian Lillard,367,8047
367,Damian Lillard,368,8076
368,Damian Lillard,369,8105
369,Damian Lillard,370,8133
370,Damian Lillard,371,8154
371,Damian Lillard,372,8167
372,Damian Lillard,373,8200
373,Damian Lillard,374,8228
374,Damian Lillard,375,8262
375,Damian Lillard,376,8295
376,Damian Lillard,377,8314
377,Damian Lillard,378,8336
378,Damian Lillard,379,8360
379,Damian Lillard,380,8393
380,Damian Lillard,381,8432
381,Damian Lillard,382,8461
382,Damian Lillard,383,8497
383,Damian Lillard,384,8524
384,Damian Lillard,385,8573
385,Damian Lillard,386,8604
386,Damian Lillard,387,8634
387,Damian Lillard,388,8655
388,Damian Lillard,389,8677
389,Damian Lillard,390,8696
390,Damian Lillard,391,8727
391,Damian Lillard,392,8758
392,Damian Lillard,393,8783
393,Damian Lillard,394,8799
394,Damian Lillard,395,8821
395,Damian Lillard,396,8880
396,Damian Lillard,397,8907
397,Damian Lillard,398,8925
398,Damian Lillard,399,8951
399,Damian Lillard,400,8964
400,Damian Lillard,401,8989
401,Damian Lillard,402,9014
402,Damian Lillard,403,9050
403,Damian Lillard,404,9083
404,Damian Lillard,405,9115
405,Damian Lillard,406,9151
406,Damian Lillard,407,9163
407,Damian Lillard,408,9182
408,Damian Lillard,409,9197
409,Damian Lillard,410,9223
410,Damian Lillard,411,9252
411,Damian Lillard,412,9274
412,Damian Lillard,413,9295
413,Damian Lillard,414,9325
414,Damian Lillard,415,9359
415,Damian Lillard,416,9388
416,Damian Lillard,417,9420
417,Damian Lillard,418,9438
418,Damian Lillard,419,9467
419,Damian Lillard,420,9497
