,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Dirk Nowitzki,1,2
1,Dirk Nowitzki,2,18
2,Dirk Nowitzki,3,33
3,Dirk Nowitzki,4,41
4,Dirk Nowitzki,5,49
5,Dirk Nowitzki,6,55
6,Dirk Nowitzki,7,63
7,Dirk Nowitzki,8,70
8,Dirk Nowitzki,9,74
9,Dirk Nowitzki,10,74
10,Dirk Nowitzki,11,85
11,Dirk Nowitzki,12,87
12,Dirk Nowitzki,13,87
13,Dirk Nowitzki,14,92
14,Dirk Nowitzki,15,98
15,Dirk Nowitzki,16,109
16,Dirk Nowitzki,17,119
17,Dirk Nowitzki,18,121
18,Dirk Nowitzki,19,125
19,Dirk Nowitzki,20,132
20,Dirk Nowitzki,21,136
21,Dirk Nowitzki,22,144
22,Dirk Nowitzki,23,155
23,Dirk Nowitzki,24,157
24,Dirk Nowitzki,25,158
25,Dirk Nowitzki,26,158
26,Dirk Nowitzki,27,166
27,Dirk Nowitzki,28,168
28,Dirk Nowitzki,29,179
29,Dirk Nowitzki,30,183
30,Dirk Nowitzki,31,195
31,Dirk Nowitzki,32,195
32,Dirk Nowitzki,33,195
33,Dirk Nowitzki,34,207
34,Dirk Nowitzki,35,211
35,Dirk Nowitzki,36,240
36,Dirk Nowitzki,37,257
37,Dirk Nowitzki,38,270
38,Dirk Nowitzki,39,292
39,Dirk Nowitzki,40,300
40,Dirk Nowitzki,41,312
41,Dirk Nowitzki,42,320
42,Dirk Nowitzki,43,331
43,Dirk Nowitzki,44,353
44,Dirk Nowitzki,45,368
45,Dirk Nowitzki,46,376
46,Dirk Nowitzki,47,385
47,Dirk Nowitzki,48,394
48,Dirk Nowitzki,49,409
49,Dirk Nowitzki,50,429
50,Dirk Nowitzki,51,449
51,Dirk Nowitzki,52,455
52,Dirk Nowitzki,53,478
53,Dirk Nowitzki,54,491
54,Dirk Nowitzki,55,507
55,Dirk Nowitzki,56,523
56,Dirk Nowitzki,57,540
57,Dirk Nowitzki,58,556
58,Dirk Nowitzki,59,587
59,Dirk Nowitzki,60,607
60,Dirk Nowitzki,61,624
61,Dirk Nowitzki,62,634
62,Dirk Nowitzki,63,654
63,Dirk Nowitzki,64,672
64,Dirk Nowitzki,65,691
65,Dirk Nowitzki,66,704
66,Dirk Nowitzki,67,735
67,Dirk Nowitzki,68,750
68,Dirk Nowitzki,69,769
69,Dirk Nowitzki,70,777
70,Dirk Nowitzki,71,801
71,Dirk Nowitzki,72,813
72,Dirk Nowitzki,73,825
73,Dirk Nowitzki,74,849
74,Dirk Nowitzki,75,867
75,Dirk Nowitzki,76,897
76,Dirk Nowitzki,77,929
77,Dirk Nowitzki,78,943
78,Dirk Nowitzki,79,967
79,Dirk Nowitzki,80,985
80,Dirk Nowitzki,81,1004
81,Dirk Nowitzki,82,1021
82,Dirk Nowitzki,83,1032
83,Dirk Nowitzki,84,1042
84,Dirk Nowitzki,85,1064
85,Dirk Nowitzki,86,1075
86,Dirk Nowitzki,87,1089
87,Dirk Nowitzki,88,1112
88,Dirk Nowitzki,89,1136
89,Dirk Nowitzki,90,1146
90,Dirk Nowitzki,91,1162
91,Dirk Nowitzki,92,1176
92,Dirk Nowitzki,93,1196
93,Dirk Nowitzki,94,1210
94,Dirk Nowitzki,95,1224
95,Dirk Nowitzki,96,1242
96,Dirk Nowitzki,97,1264
97,Dirk Nowitzki,98,1276
98,Dirk Nowitzki,99,1299
99,Dirk Nowitzki,100,1308
100,Dirk Nowitzki,101,1321
101,Dirk Nowitzki,102,1347
102,Dirk Nowitzki,103,1357
103,Dirk Nowitzki,104,1378
104,Dirk Nowitzki,105,1389
105,Dirk Nowitzki,106,1414
106,Dirk Nowitzki,107,1436
107,Dirk Nowitzki,108,1451
108,Dirk Nowitzki,109,1466
109,Dirk Nowitzki,110,1494
110,Dirk Nowitzki,111,1513
111,Dirk Nowitzki,112,1534
112,Dirk Nowitzki,113,1550
113,Dirk Nowitzki,114,1563
114,Dirk Nowitzki,115,1580
115,Dirk Nowitzki,116,1598
116,Dirk Nowitzki,117,1614
117,Dirk Nowitzki,118,1634
118,Dirk Nowitzki,119,1650
119,Dirk Nowitzki,120,1672
120,Dirk Nowitzki,121,1685
121,Dirk Nowitzki,122,1717
122,Dirk Nowitzki,123,1735
123,Dirk Nowitzki,124,1756
124,Dirk Nowitzki,125,1771
125,Dirk Nowitzki,126,1781
126,Dirk Nowitzki,127,1797
127,Dirk Nowitzki,128,1807
128,Dirk Nowitzki,129,1820
129,Dirk Nowitzki,130,1836
130,Dirk Nowitzki,131,1851
131,Dirk Nowitzki,132,1871
132,Dirk Nowitzki,133,1889
133,Dirk Nowitzki,134,1894
134,Dirk Nowitzki,135,1912
135,Dirk Nowitzki,136,1928
136,Dirk Nowitzki,137,1944
137,Dirk Nowitzki,138,1959
138,Dirk Nowitzki,139,1987
139,Dirk Nowitzki,140,2007
140,Dirk Nowitzki,141,2027
141,Dirk Nowitzki,142,2039
142,Dirk Nowitzki,143,2063
143,Dirk Nowitzki,144,2082
144,Dirk Nowitzki,145,2099
145,Dirk Nowitzki,146,2123
146,Dirk Nowitzki,147,2148
147,Dirk Nowitzki,148,2183
148,Dirk Nowitzki,149,2195
149,Dirk Nowitzki,150,2209
150,Dirk Nowitzki,151,2240
151,Dirk Nowitzki,152,2252
152,Dirk Nowitzki,153,2257
153,Dirk Nowitzki,154,2293
154,Dirk Nowitzki,155,2318
155,Dirk Nowitzki,156,2349
156,Dirk Nowitzki,157,2378
157,Dirk Nowitzki,158,2407
158,Dirk Nowitzki,159,2428
159,Dirk Nowitzki,160,2445
160,Dirk Nowitzki,161,2465
161,Dirk Nowitzki,162,2490
162,Dirk Nowitzki,163,2519
163,Dirk Nowitzki,164,2547
164,Dirk Nowitzki,165,2569
165,Dirk Nowitzki,166,2597
166,Dirk Nowitzki,167,2620
167,Dirk Nowitzki,168,2635
168,Dirk Nowitzki,169,2663
169,Dirk Nowitzki,170,2690
170,Dirk Nowitzki,171,2728
171,Dirk Nowitzki,172,2755
172,Dirk Nowitzki,173,2770
173,Dirk Nowitzki,174,2789
174,Dirk Nowitzki,175,2810
175,Dirk Nowitzki,176,2820
176,Dirk Nowitzki,177,2843
177,Dirk Nowitzki,178,2865
178,Dirk Nowitzki,179,2881
179,Dirk Nowitzki,180,2911
180,Dirk Nowitzki,181,2928
181,Dirk Nowitzki,182,2953
182,Dirk Nowitzki,183,2978
183,Dirk Nowitzki,184,3001
184,Dirk Nowitzki,185,3017
185,Dirk Nowitzki,186,3039
