,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,James Harden,1,5
1,James Harden,2,7
2,James Harden,3,13
3,James Harden,4,22
4,James Harden,5,26
5,James Harden,6,31
6,James Harden,7,40
7,James Harden,8,47
8,James Harden,9,55
9,James Harden,10,59
10,James Harden,11,64
11,James Harden,12,88
12,James Harden,13,113
13,James Harden,14,123
14,James Harden,15,133
15,James Harden,16,148
16,James Harden,17,153
17,James Harden,18,162
18,James Harden,19,168
19,James Harden,20,194
20,James Harden,21,200
21,James Harden,22,203
22,James Harden,23,212
23,James Harden,24,224
24,James Harden,25,238
25,James Harden,26,253
26,James Harden,27,269
27,James Harden,28,283
28,James Harden,29,291
29,James Harden,30,294
30,James Harden,31,305
31,James Harden,32,310
32,James Harden,33,313
33,James Harden,34,326
34,James Harden,35,335
35,James Harden,36,348
36,James Harden,37,355
37,James Harden,38,367
38,James Harden,39,378
39,James Harden,40,392
40,James Harden,41,403
41,James Harden,42,415
42,James Harden,43,428
43,James Harden,44,437
44,James Harden,45,445
45,James Harden,46,457
46,James Harden,47,462
47,James Harden,48,471
48,James Harden,49,476
49,James Harden,50,483
50,James Harden,51,496
51,James Harden,52,513
52,James Harden,53,527
53,James Harden,54,535
54,James Harden,55,540
55,James Harden,56,548
56,James Harden,57,554
57,James Harden,58,566
58,James Harden,59,569
59,James Harden,60,588
60,James Harden,61,605
61,James Harden,62,619
62,James Harden,63,625
63,James Harden,64,648
64,James Harden,65,654
65,James Harden,66,657
66,James Harden,67,669
67,James Harden,68,674
68,James Harden,69,685
69,James Harden,70,692
70,James Harden,71,707
71,James Harden,72,709
72,James Harden,73,711
73,James Harden,74,729
74,James Harden,75,741
75,James Harden,76,753
76,James Harden,77,759
77,James Harden,78,760
78,James Harden,79,767
79,James Harden,80,769
80,James Harden,81,776
81,James Harden,82,782
82,James Harden,83,791
83,James Harden,84,803
84,James Harden,85,817
85,James Harden,86,822
86,James Harden,87,832
87,James Harden,88,844
88,James Harden,89,867
89,James Harden,90,872
90,James Harden,91,876
91,James Harden,92,882
92,James Harden,93,892
93,James Harden,94,896
94,James Harden,95,912
95,James Harden,96,932
96,James Harden,97,944
97,James Harden,98,957
98,James Harden,99,963
99,James Harden,100,971
100,James Harden,101,990
101,James Harden,102,1006
102,James Harden,103,1017
103,James Harden,104,1028
104,James Harden,105,1041
105,James Harden,106,1054
106,James Harden,107,1075
107,James Harden,108,1093
108,James Harden,109,1104
109,James Harden,110,1119
110,James Harden,111,1131
111,James Harden,112,1148
112,James Harden,113,1155
113,James Harden,114,1164
114,James Harden,115,1172
115,James Harden,116,1180
116,James Harden,117,1189
117,James Harden,118,1193
118,James Harden,119,1200
119,James Harden,120,1205
120,James Harden,121,1218
121,James Harden,122,1226
122,James Harden,123,1231
123,James Harden,124,1238
124,James Harden,125,1251
125,James Harden,126,1265
126,James Harden,127,1278
127,James Harden,128,1289
128,James Harden,129,1297
129,James Harden,130,1309
130,James Harden,131,1328
131,James Harden,132,1344
132,James Harden,133,1360
133,James Harden,134,1374
134,James Harden,135,1394
135,James Harden,136,1411
136,James Harden,137,1437
137,James Harden,138,1453
138,James Harden,139,1464
139,James Harden,140,1486
140,James Harden,141,1502
141,James Harden,142,1518
142,James Harden,143,1530
143,James Harden,144,1551
144,James Harden,145,1574
145,James Harden,146,1585
146,James Harden,147,1598
147,James Harden,148,1606
148,James Harden,149,1620
149,James Harden,150,1642
150,James Harden,151,1663
151,James Harden,152,1677
152,James Harden,153,1690
153,James Harden,154,1697
154,James Harden,155,1711
155,James Harden,156,1727
156,James Harden,157,1739
157,James Harden,158,1751
158,James Harden,159,1770
159,James Harden,160,1786
160,James Harden,161,1806
161,James Harden,162,1821
162,James Harden,163,1831
163,James Harden,164,1847
164,James Harden,165,1870
165,James Harden,166,1893
166,James Harden,167,1909
167,James Harden,168,1929
168,James Harden,169,1939
169,James Harden,170,1953
170,James Harden,171,1977
171,James Harden,172,1982
172,James Harden,173,1995
173,James Harden,174,2011
174,James Harden,175,2035
175,James Harden,176,2053
176,James Harden,177,2072
177,James Harden,178,2079
178,James Harden,179,2089
179,James Harden,180,2113
180,James Harden,181,2132
181,James Harden,182,2151
182,James Harden,183,2170
183,James Harden,184,2187
184,James Harden,185,2198
185,James Harden,186,2220
186,James Harden,187,2237
187,James Harden,188,2262
188,James Harden,189,2272
189,James Harden,190,2289
190,James Harden,191,2305
191,James Harden,192,2321
192,James Harden,193,2334
193,James Harden,194,2344
194,James Harden,195,2360
195,James Harden,196,2390
196,James Harden,197,2405
197,James Harden,198,2438
198,James Harden,199,2454
199,James Harden,200,2472
200,James Harden,201,2491
