,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Jason Terry,1,5
1,Jason Terry,2,18
2,Jason Terry,3,30
3,Jason Terry,4,42
4,Jason Terry,5,45
5,Jason Terry,6,62
6,Jason Terry,7,68
7,Jason Terry,8,90
8,Jason Terry,9,94
9,Jason Terry,10,101
10,Jason Terry,11,122
11,Jason Terry,12,129
12,Jason Terry,13,132
13,Jason Terry,14,136
14,Jason Terry,15,143
15,Jason Terry,16,149
16,Jason Terry,17,153
17,Jason Terry,18,162
18,Jason Terry,19,178
19,Jason Terry,20,186
20,Jason Terry,21,192
21,Jason Terry,22,199
22,Jason Terry,23,210
23,Jason Terry,24,222
24,Jason Terry,25,229
25,Jason Terry,26,235
26,Jason Terry,27,247
27,Jason Terry,28,253
28,Jason Terry,29,257
29,Jason Terry,30,257
30,Jason Terry,31,268
31,Jason Terry,32,268
32,Jason Terry,33,272
33,Jason Terry,34,286
34,Jason Terry,35,299
35,Jason Terry,36,301
36,Jason Terry,37,307
37,Jason Terry,38,313
38,Jason Terry,39,319
39,Jason Terry,40,329
40,Jason Terry,41,334
41,Jason Terry,42,335
42,Jason Terry,43,335
43,Jason Terry,44,335
44,Jason Terry,45,341
45,Jason Terry,46,351
46,Jason Terry,47,353
47,Jason Terry,48,359
48,Jason Terry,49,363
49,Jason Terry,50,367
50,Jason Terry,51,369
51,Jason Terry,52,373
52,Jason Terry,53,373
53,Jason Terry,54,373
54,Jason Terry,55,390
55,Jason Terry,56,399
56,Jason Terry,57,411
57,Jason Terry,58,423
58,Jason Terry,59,436
59,Jason Terry,60,451
60,Jason Terry,61,459
61,Jason Terry,62,464
62,Jason Terry,63,466
63,Jason Terry,64,473
64,Jason Terry,65,484
65,Jason Terry,66,496
66,Jason Terry,67,513
67,Jason Terry,68,519
68,Jason Terry,69,531
69,Jason Terry,70,542
70,Jason Terry,71,556
71,Jason Terry,72,567
72,Jason Terry,73,578
73,Jason Terry,74,592
74,Jason Terry,75,596
75,Jason Terry,76,603
76,Jason Terry,77,610
77,Jason Terry,78,630
78,Jason Terry,79,633
79,Jason Terry,80,649
80,Jason Terry,81,657
81,Jason Terry,82,661
82,Jason Terry,83,664
83,Jason Terry,84,671
84,Jason Terry,85,676
85,Jason Terry,86,697
86,Jason Terry,87,704
87,Jason Terry,88,714
88,Jason Terry,89,725
89,Jason Terry,90,732
90,Jason Terry,91,747
91,Jason Terry,92,758
92,Jason Terry,93,763
93,Jason Terry,94,776
94,Jason Terry,95,797
95,Jason Terry,96,810
96,Jason Terry,97,832
97,Jason Terry,98,862
98,Jason Terry,99,885
99,Jason Terry,100,902
100,Jason Terry,101,934
101,Jason Terry,102,972
102,Jason Terry,103,989
103,Jason Terry,104,1006
104,Jason Terry,105,1019
105,Jason Terry,106,1036
106,Jason Terry,107,1055
107,Jason Terry,108,1074
108,Jason Terry,109,1092
109,Jason Terry,110,1123
110,Jason Terry,111,1151
111,Jason Terry,112,1183
112,Jason Terry,113,1200
113,Jason Terry,114,1221
114,Jason Terry,115,1248
115,Jason Terry,116,1265
116,Jason Terry,117,1283
117,Jason Terry,118,1315
118,Jason Terry,119,1332
119,Jason Terry,120,1348
120,Jason Terry,121,1356
121,Jason Terry,122,1387
122,Jason Terry,123,1407
123,Jason Terry,124,1429
