,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Karl Malone,1,8
1,Karl Malone,2,22
2,Karl Malone,3,35
3,Karl Malone,4,46
4,Karl Malone,5,57
5,Karl Malone,6,65
6,Karl Malone,7,69
7,Karl Malone,8,79
8,Karl Malone,9,89
9,Karl Malone,10,97
10,Karl Malone,11,102
11,Karl Malone,12,119
12,Karl Malone,13,128
13,Karl Malone,14,142
14,Karl Malone,15,153
15,Karl Malone,16,167
16,Karl Malone,17,181
17,Karl Malone,18,199
18,Karl Malone,19,216
19,Karl Malone,20,241
20,Karl Malone,21,253
21,Karl Malone,22,260
22,Karl Malone,23,279
23,Karl Malone,24,299
24,Karl Malone,25,321
25,Karl Malone,26,346
26,Karl Malone,27,348
27,Karl Malone,28,367
28,Karl Malone,29,386
29,Karl Malone,30,412
30,Karl Malone,31,418
31,Karl Malone,32,433
32,Karl Malone,33,451
33,Karl Malone,34,459
34,Karl Malone,35,484
35,Karl Malone,36,494
36,Karl Malone,37,518
37,Karl Malone,38,535
38,Karl Malone,39,564
39,Karl Malone,40,577
40,Karl Malone,41,603
41,Karl Malone,42,615
42,Karl Malone,43,632
43,Karl Malone,44,650
44,Karl Malone,45,661
45,Karl Malone,46,681
46,Karl Malone,47,691
47,Karl Malone,48,696
48,Karl Malone,49,710
49,Karl Malone,50,722
50,Karl Malone,51,741
51,Karl Malone,52,756
52,Karl Malone,53,774
53,Karl Malone,54,798
54,Karl Malone,55,809
55,Karl Malone,56,825
56,Karl Malone,57,840
57,Karl Malone,58,847
58,Karl Malone,59,862
59,Karl Malone,60,878
60,Karl Malone,61,891
61,Karl Malone,62,895
62,Karl Malone,63,911
63,Karl Malone,64,935
64,Karl Malone,65,944
65,Karl Malone,66,954
66,Karl Malone,67,978
67,Karl Malone,68,995
68,Karl Malone,69,1017
69,Karl Malone,70,1021
70,Karl Malone,71,1048
71,Karl Malone,72,1055
72,Karl Malone,73,1078
73,Karl Malone,74,1098
74,Karl Malone,75,1106
75,Karl Malone,76,1122
76,Karl Malone,77,1137
77,Karl Malone,78,1158
78,Karl Malone,79,1173
79,Karl Malone,80,1191
80,Karl Malone,81,1203
81,Karl Malone,82,1215
82,Karl Malone,83,1239
83,Karl Malone,84,1249
84,Karl Malone,85,1268
85,Karl Malone,86,1291
86,Karl Malone,87,1310
87,Karl Malone,88,1325
88,Karl Malone,89,1339
89,Karl Malone,90,1362
90,Karl Malone,91,1366
91,Karl Malone,92,1375
92,Karl Malone,93,1398
93,Karl Malone,94,1419
94,Karl Malone,95,1442
95,Karl Malone,96,1466
96,Karl Malone,97,1483
97,Karl Malone,98,1494
98,Karl Malone,99,1518
99,Karl Malone,100,1530
100,Karl Malone,101,1542
101,Karl Malone,102,1566
102,Karl Malone,103,1593
103,Karl Malone,104,1616
104,Karl Malone,105,1633
105,Karl Malone,106,1656
106,Karl Malone,107,1674
107,Karl Malone,108,1688
108,Karl Malone,109,1702
109,Karl Malone,110,1725
110,Karl Malone,111,1737
111,Karl Malone,112,1772
112,Karl Malone,113,1795
113,Karl Malone,114,1817
114,Karl Malone,115,1840
115,Karl Malone,116,1878
116,Karl Malone,117,1905
117,Karl Malone,118,1914
118,Karl Malone,119,1937
119,Karl Malone,120,1956
120,Karl Malone,121,1969
121,Karl Malone,122,1993
122,Karl Malone,123,2014
123,Karl Malone,124,2027
124,Karl Malone,125,2039
125,Karl Malone,126,2050
126,Karl Malone,127,2077
127,Karl Malone,128,2103
128,Karl Malone,129,2131
129,Karl Malone,130,2152
130,Karl Malone,131,2177
131,Karl Malone,132,2203
132,Karl Malone,133,2239
133,Karl Malone,134,2253
134,Karl Malone,135,2291
135,Karl Malone,136,2313
136,Karl Malone,137,2337
137,Karl Malone,138,2363
138,Karl Malone,139,2383
139,Karl Malone,140,2417
140,Karl Malone,141,2442
141,Karl Malone,142,2466
142,Karl Malone,143,2499
143,Karl Malone,144,2536
144,Karl Malone,145,2565
145,Karl Malone,146,2582
146,Karl Malone,147,2609
147,Karl Malone,148,2644
148,Karl Malone,149,2677
149,Karl Malone,150,2698
150,Karl Malone,151,2727
151,Karl Malone,152,2752
152,Karl Malone,153,2766
153,Karl Malone,154,2792
154,Karl Malone,155,2826
155,Karl Malone,156,2837
156,Karl Malone,157,2850
157,Karl Malone,158,2876
158,Karl Malone,159,2893
159,Karl Malone,160,2918
160,Karl Malone,161,2936
161,Karl Malone,162,2960
162,Karl Malone,163,2982
163,Karl Malone,164,3007
164,Karl Malone,165,3029
165,Karl Malone,166,3053
166,Karl Malone,167,3085
167,Karl Malone,168,3108
168,Karl Malone,169,3140
169,Karl Malone,170,3165
170,Karl Malone,171,3185
171,Karl Malone,172,3215
172,Karl Malone,173,3224
173,Karl Malone,174,3246
174,Karl Malone,175,3281
175,Karl Malone,176,3298
176,Karl Malone,177,3331
177,Karl Malone,178,3350
178,Karl Malone,179,3373
179,Karl Malone,180,3400
180,Karl Malone,181,3421
181,Karl Malone,182,3440
182,Karl Malone,183,3462
183,Karl Malone,184,3493
184,Karl Malone,185,3513
185,Karl Malone,186,3544
186,Karl Malone,187,3566
187,Karl Malone,188,3592
188,Karl Malone,189,3618
189,Karl Malone,190,3655
190,Karl Malone,191,3687
191,Karl Malone,192,3713
192,Karl Malone,193,3738
193,Karl Malone,194,3750
194,Karl Malone,195,3779
195,Karl Malone,196,3804
196,Karl Malone,197,3835
197,Karl Malone,198,3863
198,Karl Malone,199,3902
199,Karl Malone,200,3930
200,Karl Malone,201,3966
201,Karl Malone,202,3984
202,Karl Malone,203,4013
203,Karl Malone,204,4045
204,Karl Malone,205,4070
205,Karl Malone,206,4095
206,Karl Malone,207,4136
207,Karl Malone,208,4154
208,Karl Malone,209,4174
209,Karl Malone,210,4205
210,Karl Malone,211,4225
211,Karl Malone,212,4254
212,Karl Malone,213,4275
213,Karl Malone,214,4307
214,Karl Malone,215,4345
215,Karl Malone,216,4373
216,Karl Malone,217,4414
217,Karl Malone,218,4448
218,Karl Malone,219,4474
219,Karl Malone,220,4512
220,Karl Malone,221,4533
221,Karl Malone,222,4559
222,Karl Malone,223,4593
223,Karl Malone,224,4624
224,Karl Malone,225,4628
225,Karl Malone,226,4657
226,Karl Malone,227,4687
227,Karl Malone,228,4721
228,Karl Malone,229,4749
229,Karl Malone,230,4778
230,Karl Malone,231,4811
231,Karl Malone,232,4836
232,Karl Malone,233,4861
233,Karl Malone,234,4883
234,Karl Malone,235,4908
235,Karl Malone,236,4941
236,Karl Malone,237,4955
237,Karl Malone,238,4991
238,Karl Malone,239,5030
239,Karl Malone,240,5069
240,Karl Malone,241,5107
241,Karl Malone,242,5145
242,Karl Malone,243,5178
243,Karl Malone,244,5219
244,Karl Malone,245,5250
245,Karl Malone,246,5286
246,Karl Malone,247,5321
247,Karl Malone,248,5346
248,Karl Malone,249,5381
249,Karl Malone,250,5417
250,Karl Malone,251,5446
251,Karl Malone,252,5488
252,Karl Malone,253,5511
253,Karl Malone,254,5544
254,Karl Malone,255,5569
255,Karl Malone,256,5594
256,Karl Malone,257,5620
257,Karl Malone,258,5639
258,Karl Malone,259,5654
259,Karl Malone,260,5680
260,Karl Malone,261,5704
261,Karl Malone,262,5738
262,Karl Malone,263,5767
263,Karl Malone,264,5793
264,Karl Malone,265,5826
265,Karl Malone,266,5853
266,Karl Malone,267,5886
267,Karl Malone,268,5930
268,Karl Malone,269,5960
269,Karl Malone,270,5994
270,Karl Malone,271,6026
271,Karl Malone,272,6057
272,Karl Malone,273,6078
273,Karl Malone,274,6110
274,Karl Malone,275,6145
275,Karl Malone,276,6175
276,Karl Malone,277,6199
277,Karl Malone,278,6237
278,Karl Malone,279,6266
279,Karl Malone,280,6297
280,Karl Malone,281,6338
281,Karl Malone,282,6364
282,Karl Malone,283,6403
283,Karl Malone,284,6425
284,Karl Malone,285,6450
285,Karl Malone,286,6491
286,Karl Malone,287,6514
287,Karl Malone,288,6534
288,Karl Malone,289,6562
289,Karl Malone,290,6595
290,Karl Malone,291,6614
291,Karl Malone,292,6640
292,Karl Malone,293,6670
293,Karl Malone,294,6698
294,Karl Malone,295,6734
295,Karl Malone,296,6766
296,Karl Malone,297,6801
