,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Kobe Bryant,1,0
1,Kobe Bryant,2,1
2,Kobe Bryant,3,6
3,Kobe Bryant,4,16
4,Kobe Bryant,5,18
5,Kobe Bryant,6,20
6,Kobe Bryant,7,26
7,Kobe Bryant,8,30
8,Kobe Bryant,9,46
9,Kobe Bryant,10,49
10,Kobe Bryant,11,60
11,Kobe Bryant,12,72
12,Kobe Bryant,13,74
13,Kobe Bryant,14,75
14,Kobe Bryant,15,77
15,Kobe Bryant,16,85
16,Kobe Bryant,17,96
17,Kobe Bryant,18,96
18,Kobe Bryant,19,101
19,Kobe Bryant,20,101
20,Kobe Bryant,21,106
21,Kobe Bryant,22,106
22,Kobe Bryant,23,106
23,Kobe Bryant,24,110
24,Kobe Bryant,25,131
25,Kobe Bryant,26,147
26,Kobe Bryant,27,155
27,Kobe Bryant,28,164
28,Kobe Bryant,29,166
29,Kobe Bryant,30,168
30,Kobe Bryant,31,189
31,Kobe Bryant,32,195
32,Kobe Bryant,33,212
33,Kobe Bryant,34,219
34,Kobe Bryant,35,231
35,Kobe Bryant,36,250
36,Kobe Bryant,37,263
37,Kobe Bryant,38,269
38,Kobe Bryant,39,274
39,Kobe Bryant,40,276
40,Kobe Bryant,41,285
41,Kobe Bryant,42,285
42,Kobe Bryant,43,295
43,Kobe Bryant,44,297
44,Kobe Bryant,45,297
45,Kobe Bryant,46,297
46,Kobe Bryant,47,307
47,Kobe Bryant,48,307
48,Kobe Bryant,49,315
49,Kobe Bryant,50,327
50,Kobe Bryant,51,345
51,Kobe Bryant,52,361
52,Kobe Bryant,53,371
53,Kobe Bryant,54,379
54,Kobe Bryant,55,379
55,Kobe Bryant,56,379
56,Kobe Bryant,57,387
57,Kobe Bryant,58,393
58,Kobe Bryant,59,412
59,Kobe Bryant,60,432
60,Kobe Bryant,61,441
61,Kobe Bryant,62,447
62,Kobe Bryant,63,462
63,Kobe Bryant,64,475
64,Kobe Bryant,65,499
65,Kobe Bryant,66,510
66,Kobe Bryant,67,517
67,Kobe Bryant,68,529
68,Kobe Bryant,69,532
69,Kobe Bryant,70,537
70,Kobe Bryant,71,539
71,Kobe Bryant,72,562
72,Kobe Bryant,73,566
73,Kobe Bryant,74,570
74,Kobe Bryant,75,595
75,Kobe Bryant,76,606
76,Kobe Bryant,77,625
77,Kobe Bryant,78,645
78,Kobe Bryant,79,669
79,Kobe Bryant,80,685
80,Kobe Bryant,81,699
81,Kobe Bryant,82,718
82,Kobe Bryant,83,724
83,Kobe Bryant,84,734
84,Kobe Bryant,85,751
85,Kobe Bryant,86,772
86,Kobe Bryant,87,791
87,Kobe Bryant,88,811
88,Kobe Bryant,89,838
89,Kobe Bryant,90,868
90,Kobe Bryant,91,887
91,Kobe Bryant,92,920
92,Kobe Bryant,93,939
93,Kobe Bryant,94,952
94,Kobe Bryant,95,971
95,Kobe Bryant,96,987
96,Kobe Bryant,97,1004
97,Kobe Bryant,98,1016
98,Kobe Bryant,99,1028
99,Kobe Bryant,100,1048
100,Kobe Bryant,101,1064
101,Kobe Bryant,102,1081
102,Kobe Bryant,103,1096
103,Kobe Bryant,104,1102
104,Kobe Bryant,105,1116
105,Kobe Bryant,106,1137
106,Kobe Bryant,107,1153
107,Kobe Bryant,108,1178
108,Kobe Bryant,109,1196
109,Kobe Bryant,110,1222
110,Kobe Bryant,111,1244
111,Kobe Bryant,112,1264
112,Kobe Bryant,113,1290
113,Kobe Bryant,114,1307
114,Kobe Bryant,115,1318
115,Kobe Bryant,116,1333
116,Kobe Bryant,117,1351
117,Kobe Bryant,118,1359
118,Kobe Bryant,119,1380
119,Kobe Bryant,120,1398
120,Kobe Bryant,121,1410
121,Kobe Bryant,122,1418
122,Kobe Bryant,123,1432
123,Kobe Bryant,124,1446
124,Kobe Bryant,125,1450
125,Kobe Bryant,126,1465
126,Kobe Bryant,127,1472
127,Kobe Bryant,128,1476
128,Kobe Bryant,129,1489
129,Kobe Bryant,130,1495
130,Kobe Bryant,131,1508
131,Kobe Bryant,132,1508
132,Kobe Bryant,133,1518
133,Kobe Bryant,134,1534
134,Kobe Bryant,135,1546
135,Kobe Bryant,136,1569
136,Kobe Bryant,137,1580
137,Kobe Bryant,138,1582
138,Kobe Bryant,139,1597
139,Kobe Bryant,140,1614
140,Kobe Bryant,141,1634
141,Kobe Bryant,142,1641
142,Kobe Bryant,143,1647
143,Kobe Bryant,144,1661
144,Kobe Bryant,145,1673
145,Kobe Bryant,146,1683
146,Kobe Bryant,147,1698
147,Kobe Bryant,148,1717
148,Kobe Bryant,149,1734
149,Kobe Bryant,150,1759
150,Kobe Bryant,151,1784
151,Kobe Bryant,152,1800
152,Kobe Bryant,153,1819
153,Kobe Bryant,154,1840
154,Kobe Bryant,155,1864
155,Kobe Bryant,156,1882
156,Kobe Bryant,157,1898
157,Kobe Bryant,158,1921
158,Kobe Bryant,159,1942
159,Kobe Bryant,160,1965
160,Kobe Bryant,161,1991
161,Kobe Bryant,162,2002
162,Kobe Bryant,163,2009
163,Kobe Bryant,164,2031
164,Kobe Bryant,165,2049
165,Kobe Bryant,166,2059
166,Kobe Bryant,167,2091
167,Kobe Bryant,168,2111
168,Kobe Bryant,169,2135
169,Kobe Bryant,170,2151
170,Kobe Bryant,171,2160
171,Kobe Bryant,172,2178
172,Kobe Bryant,173,2207
173,Kobe Bryant,174,2228
174,Kobe Bryant,175,2242
175,Kobe Bryant,176,2265
176,Kobe Bryant,177,2303
177,Kobe Bryant,178,2324
178,Kobe Bryant,179,2349
179,Kobe Bryant,180,2375
180,Kobe Bryant,181,2404
181,Kobe Bryant,182,2424
182,Kobe Bryant,183,2442
183,Kobe Bryant,184,2459
184,Kobe Bryant,185,2485
185,Kobe Bryant,186,2500
186,Kobe Bryant,187,2518
187,Kobe Bryant,188,2536
188,Kobe Bryant,189,2561
189,Kobe Bryant,190,2581
190,Kobe Bryant,191,2598
191,Kobe Bryant,192,2615
192,Kobe Bryant,193,2642
193,Kobe Bryant,194,2664
194,Kobe Bryant,195,2675
195,Kobe Bryant,196,2684
196,Kobe Bryant,197,2699
197,Kobe Bryant,198,2727
198,Kobe Bryant,199,2744
199,Kobe Bryant,200,2755
200,Kobe Bryant,201,2774
201,Kobe Bryant,202,2797
202,Kobe Bryant,203,2812
203,Kobe Bryant,204,2833
204,Kobe Bryant,205,2860
205,Kobe Bryant,206,2874
206,Kobe Bryant,207,2900
207,Kobe Bryant,208,2918
208,Kobe Bryant,209,2948
209,Kobe Bryant,210,2976
210,Kobe Bryant,211,3002
211,Kobe Bryant,212,3029
212,Kobe Bryant,213,3047
213,Kobe Bryant,214,3072
214,Kobe Bryant,215,3090
215,Kobe Bryant,216,3119
216,Kobe Bryant,217,3145
217,Kobe Bryant,218,3158
218,Kobe Bryant,219,3189
219,Kobe Bryant,220,3219
220,Kobe Bryant,221,3241
221,Kobe Bryant,222,3259
222,Kobe Bryant,223,3281
223,Kobe Bryant,224,3296
224,Kobe Bryant,225,3321
225,Kobe Bryant,226,3349
226,Kobe Bryant,227,3375
227,Kobe Bryant,228,3398
228,Kobe Bryant,229,3415
229,Kobe Bryant,230,3434
230,Kobe Bryant,231,3447
231,Kobe Bryant,232,3476
232,Kobe Bryant,233,3500
233,Kobe Bryant,234,3521
234,Kobe Bryant,235,3547
235,Kobe Bryant,236,3558
236,Kobe Bryant,237,3576
237,Kobe Bryant,238,3597
238,Kobe Bryant,239,3618
239,Kobe Bryant,240,3635
240,Kobe Bryant,241,3666
241,Kobe Bryant,242,3688
242,Kobe Bryant,243,3715
243,Kobe Bryant,244,3737
244,Kobe Bryant,245,3752
245,Kobe Bryant,246,3774
246,Kobe Bryant,247,3804
247,Kobe Bryant,248,3844
248,Kobe Bryant,249,3866
249,Kobe Bryant,250,3873
250,Kobe Bryant,251,3898
251,Kobe Bryant,252,3922
252,Kobe Bryant,253,3945
253,Kobe Bryant,254,3963
254,Kobe Bryant,255,3991
255,Kobe Bryant,256,4015
256,Kobe Bryant,257,4043
257,Kobe Bryant,258,4053
258,Kobe Bryant,259,4070
259,Kobe Bryant,260,4086
260,Kobe Bryant,261,4112
261,Kobe Bryant,262,4145
262,Kobe Bryant,263,4176
263,Kobe Bryant,264,4201
264,Kobe Bryant,265,4217
265,Kobe Bryant,266,4240
266,Kobe Bryant,267,4254
267,Kobe Bryant,268,4285
268,Kobe Bryant,269,4307
269,Kobe Bryant,270,4328
270,Kobe Bryant,271,4343
271,Kobe Bryant,272,4375
272,Kobe Bryant,273,4412
273,Kobe Bryant,274,4443
274,Kobe Bryant,275,4474
275,Kobe Bryant,276,4506
276,Kobe Bryant,277,4528
277,Kobe Bryant,278,4559
278,Kobe Bryant,279,4588
279,Kobe Bryant,280,4617
280,Kobe Bryant,281,4654
281,Kobe Bryant,282,4671
282,Kobe Bryant,283,4714
283,Kobe Bryant,284,4752
284,Kobe Bryant,285,4788
285,Kobe Bryant,286,4839
286,Kobe Bryant,287,4858
287,Kobe Bryant,288,4884
288,Kobe Bryant,289,4909
289,Kobe Bryant,290,4944
290,Kobe Bryant,291,4961
291,Kobe Bryant,292,5001
292,Kobe Bryant,293,5024
293,Kobe Bryant,294,5069
294,Kobe Bryant,295,5104
295,Kobe Bryant,296,5133
296,Kobe Bryant,297,5171
297,Kobe Bryant,298,5188
298,Kobe Bryant,299,5219
299,Kobe Bryant,300,5246
300,Kobe Bryant,301,5278
301,Kobe Bryant,302,5305
302,Kobe Bryant,303,5331
303,Kobe Bryant,304,5360
304,Kobe Bryant,305,5394
305,Kobe Bryant,306,5415
306,Kobe Bryant,307,5441
307,Kobe Bryant,308,5474
308,Kobe Bryant,309,5521
309,Kobe Bryant,310,5545
310,Kobe Bryant,311,5589
311,Kobe Bryant,312,5615
312,Kobe Bryant,313,5647
313,Kobe Bryant,314,5685
314,Kobe Bryant,315,5703
