,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,LeBron James,1,25
1,LeBron James,2,46
2,LeBron James,3,54
3,LeBron James,4,61
4,LeBron James,5,84
5,LeBron James,6,101
6,LeBron James,7,118
7,LeBron James,8,136
8,LeBron James,9,146
9,LeBron James,10,168
10,LeBron James,11,182
11,LeBron James,12,210
12,LeBron James,13,229
13,LeBron James,14,244
14,LeBron James,15,259
15,LeBron James,16,265
16,LeBron James,17,298
17,LeBron James,18,317
18,LeBron James,19,321
19,LeBron James,20,329
20,LeBron James,21,347
21,LeBron James,22,370
22,LeBron James,23,407
23,LeBron James,24,434
24,LeBron James,25,451
25,LeBron James,26,487
26,LeBron James,27,519
27,LeBron James,28,541
28,LeBron James,29,575
29,LeBron James,30,593
30,LeBron James,31,625
31,LeBron James,32,647
32,LeBron James,33,661
33,LeBron James,34,675
34,LeBron James,35,696
35,LeBron James,36,715
36,LeBron James,37,731
37,LeBron James,38,758
38,LeBron James,39,787
39,LeBron James,40,816
40,LeBron James,41,832
41,LeBron James,42,859
42,LeBron James,43,879
43,LeBron James,44,917
44,LeBron James,45,929
45,LeBron James,46,961
46,LeBron James,47,975
47,LeBron James,48,989
48,LeBron James,49,1013
49,LeBron James,50,1022
50,LeBron James,51,1038
51,LeBron James,52,1070
52,LeBron James,53,1092
53,LeBron James,54,1113
54,LeBron James,55,1124
55,LeBron James,56,1154
56,LeBron James,57,1172
57,LeBron James,58,1196
58,LeBron James,59,1215
59,LeBron James,60,1239
60,LeBron James,61,1273
61,LeBron James,62,1287
62,LeBron James,63,1313
63,LeBron James,64,1330
64,LeBron James,65,1344
65,LeBron James,66,1359
66,LeBron James,67,1384
67,LeBron James,68,1400
68,LeBron James,69,1441
69,LeBron James,70,1459
70,LeBron James,71,1487
71,LeBron James,72,1507
72,LeBron James,73,1541
73,LeBron James,74,1562
74,LeBron James,75,1576
75,LeBron James,76,1600
76,LeBron James,77,1610
77,LeBron James,78,1637
78,LeBron James,79,1654
79,LeBron James,80,1682
80,LeBron James,81,1703
81,LeBron James,82,1734
82,LeBron James,83,1759
83,LeBron James,84,1797
84,LeBron James,85,1821
85,LeBron James,86,1854
86,LeBron James,87,1873
87,LeBron James,88,1898
88,LeBron James,89,1911
89,LeBron James,90,1954
90,LeBron James,91,1974
91,LeBron James,92,2000
92,LeBron James,93,2022
93,LeBron James,94,2037
94,LeBron James,95,2054
95,LeBron James,96,2081
96,LeBron James,97,2108
97,LeBron James,98,2127
98,LeBron James,99,2150
99,LeBron James,100,2181
100,LeBron James,101,2206
101,LeBron James,102,2217
102,LeBron James,103,2248
103,LeBron James,104,2274
104,LeBron James,105,2297
105,LeBron James,106,2319
106,LeBron James,107,2359
107,LeBron James,108,2362
108,LeBron James,109,2388
109,LeBron James,110,2408
110,LeBron James,111,2430
111,LeBron James,112,2459
112,LeBron James,113,2487
113,LeBron James,114,2514
114,LeBron James,115,2549
115,LeBron James,116,2576
116,LeBron James,117,2594
117,LeBron James,118,2622
118,LeBron James,119,2653
119,LeBron James,120,2680
120,LeBron James,121,2708
121,LeBron James,122,2739
122,LeBron James,123,2769
123,LeBron James,124,2784
124,LeBron James,125,2819
125,LeBron James,126,2844
126,LeBron James,127,2872
127,LeBron James,128,2898
128,LeBron James,129,2925
129,LeBron James,130,2946
130,LeBron James,131,2974
131,LeBron James,132,2994
132,LeBron James,133,3026
133,LeBron James,134,3060
134,LeBron James,135,3083
135,LeBron James,136,3106
136,LeBron James,137,3141
137,LeBron James,138,3177
138,LeBron James,139,3211
139,LeBron James,140,3227
140,LeBron James,141,3283
141,LeBron James,142,3312
142,LeBron James,143,3331
143,LeBron James,144,3350
144,LeBron James,145,3394
145,LeBron James,146,3416
146,LeBron James,147,3442
147,LeBron James,148,3477
148,LeBron James,149,3514
149,LeBron James,150,3538
150,LeBron James,151,3558
151,LeBron James,152,3595
152,LeBron James,153,3635
153,LeBron James,154,3668
154,LeBron James,155,3695
155,LeBron James,156,3733
156,LeBron James,157,3770
157,LeBron James,158,3802
158,LeBron James,159,3829
159,LeBron James,160,3860
160,LeBron James,161,3880
161,LeBron James,162,3916
162,LeBron James,163,3943
163,LeBron James,164,3974
164,LeBron James,165,3990
165,LeBron James,166,4016
166,LeBron James,167,4053
167,LeBron James,168,4069
168,LeBron James,169,4105
169,LeBron James,170,4141
170,LeBron James,171,4160
171,LeBron James,172,4198
172,LeBron James,173,4226
173,LeBron James,174,4260
174,LeBron James,175,4290
175,LeBron James,176,4320
176,LeBron James,177,4352
177,LeBron James,178,4404
178,LeBron James,179,4443
179,LeBron James,180,4469
180,LeBron James,181,4510
181,LeBron James,182,4535
182,LeBron James,183,4572
183,LeBron James,184,4586
184,LeBron James,185,4618
185,LeBron James,186,4649
186,LeBron James,187,4679
187,LeBron James,188,4711
188,LeBron James,189,4743
189,LeBron James,190,4778
190,LeBron James,191,4814
191,LeBron James,192,4842
192,LeBron James,193,4888
193,LeBron James,194,4917
194,LeBron James,195,4941
195,LeBron James,196,4955
196,LeBron James,197,5006
197,LeBron James,198,5029
198,LeBron James,199,5067
199,LeBron James,200,5097
200,LeBron James,201,5141
201,LeBron James,202,5171
202,LeBron James,203,5197
203,LeBron James,204,5226
204,LeBron James,205,5257
205,LeBron James,206,5279
206,LeBron James,207,5314
207,LeBron James,208,5332
208,LeBron James,209,5365
209,LeBron James,210,5409
210,LeBron James,211,5452
211,LeBron James,212,5478
212,LeBron James,213,5511
213,LeBron James,214,5536
214,LeBron James,215,5558
215,LeBron James,216,5584
216,LeBron James,217,5603
217,LeBron James,218,5636
218,LeBron James,219,5673
219,LeBron James,220,5690
220,LeBron James,221,5725
221,LeBron James,222,5750
222,LeBron James,223,5797
223,LeBron James,224,5833
224,LeBron James,225,5860
225,LeBron James,226,5889
226,LeBron James,227,5926
227,LeBron James,228,5962
228,LeBron James,229,5998
229,LeBron James,230,6044
