,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Russell Westbrook,1,13
1,Russell Westbrook,2,19
2,Russell Westbrook,3,33
3,Russell Westbrook,4,46
4,Russell Westbrook,5,52
5,Russell Westbrook,6,67
6,Russell Westbrook,7,73
7,Russell Westbrook,8,86
8,Russell Westbrook,9,105
9,Russell Westbrook,10,118
10,Russell Westbrook,11,132
11,Russell Westbrook,12,142
12,Russell Westbrook,13,157
13,Russell Westbrook,14,166
14,Russell Westbrook,15,181
15,Russell Westbrook,16,194
16,Russell Westbrook,17,209
17,Russell Westbrook,18,221
18,Russell Westbrook,19,231
19,Russell Westbrook,20,250
20,Russell Westbrook,21,280
21,Russell Westbrook,22,286
22,Russell Westbrook,23,301
23,Russell Westbrook,24,320
24,Russell Westbrook,25,322
25,Russell Westbrook,26,333
26,Russell Westbrook,27,352
27,Russell Westbrook,28,376
28,Russell Westbrook,29,387
29,Russell Westbrook,30,401
30,Russell Westbrook,31,411
31,Russell Westbrook,32,442
32,Russell Westbrook,33,453
33,Russell Westbrook,34,467
34,Russell Westbrook,35,489
35,Russell Westbrook,36,505
36,Russell Westbrook,37,520
37,Russell Westbrook,38,534
38,Russell Westbrook,39,553
39,Russell Westbrook,40,575
40,Russell Westbrook,41,580
41,Russell Westbrook,42,594
42,Russell Westbrook,43,624
43,Russell Westbrook,44,635
44,Russell Westbrook,45,648
45,Russell Westbrook,46,664
46,Russell Westbrook,47,684
47,Russell Westbrook,48,718
48,Russell Westbrook,49,738
49,Russell Westbrook,50,748
50,Russell Westbrook,51,759
51,Russell Westbrook,52,776
52,Russell Westbrook,53,797
53,Russell Westbrook,54,809
54,Russell Westbrook,55,828
55,Russell Westbrook,56,859
56,Russell Westbrook,57,873
57,Russell Westbrook,58,906
58,Russell Westbrook,59,931
59,Russell Westbrook,60,948
60,Russell Westbrook,61,960
61,Russell Westbrook,62,984
62,Russell Westbrook,63,995
63,Russell Westbrook,64,1017
64,Russell Westbrook,65,1030
65,Russell Westbrook,66,1050
66,Russell Westbrook,67,1058
67,Russell Westbrook,68,1073
68,Russell Westbrook,69,1095
69,Russell Westbrook,70,1102
70,Russell Westbrook,71,1112
71,Russell Westbrook,72,1122
72,Russell Westbrook,73,1145
73,Russell Westbrook,74,1161
74,Russell Westbrook,75,1169
75,Russell Westbrook,76,1180
76,Russell Westbrook,77,1190
