,PLAYER_NAME,GAME_CAREER,TOTAL_3MADE
0,Vince Carter,1,16
1,Vince Carter,2,20
2,Vince Carter,3,42
3,Vince Carter,4,49
4,Vince Carter,5,66
5,Vince Carter,6,81
6,Vince Carter,7,94
7,Vince Carter,8,121
8,Vince Carter,9,128
9,Vince Carter,10,156
10,Vince Carter,11,177
11,Vince Carter,12,185
12,Vince Carter,13,200
13,Vince Carter,14,214
14,Vince Carter,15,233
15,Vince Carter,16,259
16,Vince Carter,17,275
17,Vince Carter,18,289
18,Vince Carter,19,292
19,Vince Carter,20,312
20,Vince Carter,21,340
21,Vince Carter,22,366
22,Vince Carter,23,389
23,Vince Carter,24,399
24,Vince Carter,25,422
25,Vince Carter,26,454
26,Vince Carter,27,468
27,Vince Carter,28,490
28,Vince Carter,29,497
29,Vince Carter,30,528
30,Vince Carter,31,546
31,Vince Carter,32,566
32,Vince Carter,33,576
33,Vince Carter,34,607
34,Vince Carter,35,633
35,Vince Carter,36,662
36,Vince Carter,37,674
37,Vince Carter,38,691
38,Vince Carter,39,712
39,Vince Carter,40,726
40,Vince Carter,41,742
41,Vince Carter,42,758
42,Vince Carter,43,782
43,Vince Carter,44,800
44,Vince Carter,45,822
45,Vince Carter,46,842
46,Vince Carter,47,867
47,Vince Carter,48,873
48,Vince Carter,49,899
49,Vince Carter,50,913
50,Vince Carter,51,925
51,Vince Carter,52,949
52,Vince Carter,53,975
53,Vince Carter,54,1000
54,Vince Carter,55,1022
55,Vince Carter,56,1049
56,Vince Carter,57,1070
57,Vince Carter,58,1093
58,Vince Carter,59,1112
59,Vince Carter,60,1146
60,Vince Carter,61,1165
61,Vince Carter,62,1181
62,Vince Carter,63,1199
63,Vince Carter,64,1221
64,Vince Carter,65,1235
65,Vince Carter,66,1258
66,Vince Carter,67,1297
67,Vince Carter,68,1329
68,Vince Carter,69,1354
69,Vince Carter,70,1370
70,Vince Carter,71,1394
71,Vince Carter,72,1413
72,Vince Carter,73,1436
73,Vince Carter,74,1465
74,Vince Carter,75,1489
75,Vince Carter,76,1525
76,Vince Carter,77,1561
77,Vince Carter,78,1596
78,Vince Carter,79,1618
79,Vince Carter,80,1631
80,Vince Carter,81,1645
81,Vince Carter,82,1679
82,Vince Carter,83,1699
83,Vince Carter,84,1718
84,Vince Carter,85,1748
85,Vince Carter,86,1795
86,Vince Carter,87,1819
87,Vince Carter,88,1843
88,Vince Carter,89,1863
89,Vince Carter,90,1876
90,Vince Carter,91,1902
91,Vince Carter,92,1925
92,Vince Carter,93,1947
93,Vince Carter,94,1966
94,Vince Carter,95,1996
95,Vince Carter,96,2032
96,Vince Carter,97,2066
97,Vince Carter,98,2095
98,Vince Carter,99,2116
99,Vince Carter,100,2147
100,Vince Carter,101,2171
101,Vince Carter,102,2204
102,Vince Carter,103,2227
103,Vince Carter,104,2278
104,Vince Carter,105,2304
105,Vince Carter,106,2332
106,Vince Carter,107,2362
107,Vince Carter,108,2390
108,Vince Carter,109,2425
109,Vince Carter,110,2448
110,Vince Carter,111,2473
111,Vince Carter,112,2507
112,Vince Carter,113,2530
113,Vince Carter,114,2560
114,Vince Carter,115,2597
115,Vince Carter,116,2620
116,Vince Carter,117,2646
117,Vince Carter,118,2664
118,Vince Carter,119,2702
119,Vince Carter,120,2721
120,Vince Carter,121,2760
121,Vince Carter,122,2791
122,Vince Carter,123,2808
123,Vince Carter,124,2832
124,Vince Carter,125,2855
125,Vince Carter,126,2872
126,Vince Carter,127,2903
127,Vince Carter,128,2931
128,Vince Carter,129,2965
129,Vince Carter,130,2990
130,Vince Carter,131,3007
131,Vince Carter,132,3020
132,Vince Carter,133,3046
133,Vince Carter,134,3071
134,Vince Carter,135,3104
135,Vince Carter,136,3138
136,Vince Carter,137,3161
137,Vince Carter,138,3193
138,Vince Carter,139,3219
139,Vince Carter,140,3256
140,Vince Carter,141,3304
141,Vince Carter,142,3324
142,Vince Carter,143,3352
143,Vince Carter,144,3377
144,Vince Carter,145,3377
145,Vince Carter,146,3406
146,Vince Carter,147,3441
147,Vince Carter,148,3474
148,Vince Carter,149,3498
149,Vince Carter,150,3513
150,Vince Carter,151,3544
151,Vince Carter,152,3577
152,Vince Carter,153,3622
153,Vince Carter,154,3642
154,Vince Carter,155,3674
155,Vince Carter,156,3699
156,Vince Carter,157,3745
157,Vince Carter,158,3770
158,Vince Carter,159,3803
159,Vince Carter,160,3826
160,Vince Carter,161,3850
161,Vince Carter,162,3868
162,Vince Carter,163,3893
163,Vince Carter,164,3933
164,Vince Carter,165,3955
165,Vince Carter,166,3982
166,Vince Carter,167,4007
167,Vince Carter,168,4046
168,Vince Carter,169,4079
169,Vince Carter,170,4100
170,Vince Carter,171,4100
171,Vince Carter,172,4119
172,Vince Carter,173,4148
173,Vince Carter,174,4179
174,Vince Carter,175,4212
175,Vince Carter,176,4240
176,Vince Carter,177,4246
177,Vince Carter,178,4279
178,Vince Carter,179,4318
179,Vince Carter,180,4356
180,Vince Carter,181,4375
181,Vince Carter,182,4407
182,Vince Carter,183,4439
183,Vince Carter,184,4477
184,Vince Carter,185,4502
185,Vince Carter,186,4527
186,Vince Carter,187,4555
187,Vince Carter,188,4587
188,Vince Carter,189,4612
189,Vince Carter,190,4636
190,Vince Carter,191,4658
191,Vince Carter,192,4691
192,Vince Carter,193,4714
193,Vince Carter,194,4743
194,Vince Carter,195,4767
195,Vince Carter,196,4805
196,Vince Carter,197,4832
197,Vince Carter,198,4860
198,Vince Carter,199,4886
199,Vince Carter,200,4918
200,Vince Carter,201,4939
201,Vince Carter,202,4972
202,Vince Carter,203,4994
203,Vince Carter,204,5021
204,Vince Carter,205,5035
205,Vince Carter,206,5056
206,Vince Carter,207,5090
207,Vince Carter,208,5101
208,Vince Carter,209,5121
209,Vince Carter,210,5146
210,Vince Carter,211,5174
211,Vince Carter,212,5213
212,Vince Carter,213,5256
213,Vince Carter,214,5278
214,Vince Carter,215,5301
215,Vince Carter,216,5325
216,Vince Carter,217,5354
217,Vince Carter,218,5385
218,Vince Carter,219,5413
219,Vince Carter,220,5439
220,Vince Carter,221,5457
221,Vince Carter,222,5487
222,Vince Carter,223,5510
223,Vince Carter,224,5529
224,Vince Carter,225,5546
225,Vince Carter,226,5572
226,Vince Carter,227,5614
227,Vince Carter,228,5656
228,Vince Carter,229,5662
229,Vince Carter,230,5693
230,Vince Carter,231,5716
231,Vince Carter,232,5739
232,Vince Carter,233,5772
233,Vince Carter,234,5799
234,Vince Carter,235,5814
235,Vince Carter,236,5829
236,Vince Carter,237,5857
237,Vince Carter,238,5891
238,Vince Carter,239,5915
239,Vince Carter,240,5946
240,Vince Carter,241,5965
241,Vince Carter,242,5981
242,Vince Carter,243,6012
243,Vince Carter,244,6036
244,Vince Carter,245,6065
245,Vince Carter,246,6088
246,Vince Carter,247,6122
247,Vince Carter,248,6148
248,Vince Carter,249,6166
249,Vince Carter,250,6185
250,Vince Carter,251,6217
251,Vince Carter,252,6244
252,Vince Carter,253,6270
253,Vince Carter,254,6298
254,Vince Carter,255,6327
255,Vince Carter,256,6340
256,Vince Carter,257,6368
257,Vince Carter,258,6390
258,Vince Carter,259,6415
259,Vince Carter,260,6427
260,Vince Carter,261,6470
261,Vince Carter,262,6489
262,Vince Carter,263,6505
263,Vince Carter,264,6521
264,Vince Carter,265,6542
265,Vince Carter,266,6564
266,Vince Carter,267,6574
267,Vince Carter,268,6592
268,Vince Carter,269,6610
269,Vince Carter,270,6612
270,Vince Carter,271,6628
271,Vince Carter,272,6651
272,Vince Carter,273,6678
273,Vince Carter,274,6695
274,Vince Carter,275,6721
275,Vince Carter,276,6741
276,Vince Carter,277,6766
277,Vince Carter,278,6788
278,Vince Carter,279,6801
279,Vince Carter,280,6817
280,Vince Carter,281,6831
281,Vince Carter,282,6856
282,Vince Carter,283,6877
283,Vince Carter,284,6897
284,Vince Carter,285,6909
285,Vince Carter,286,6925
286,Vince Carter,287,6938
287,Vince Carter,288,6957
288,Vince Carter,289,6975
289,Vince Carter,290,6993
290,Vince Carter,291,7017
291,Vince Carter,292,7038
292,Vince Carter,293,7081
293,Vince Carter,294,7107
294,Vince Carter,295,7128
295,Vince Carter,296,7149
296,Vince Carter,297,7165
297,Vince Carter,298,7193
298,Vince Carter,299,7208
299,Vince Carter,300,7235
300,Vince Carter,301,7265
301,Vince Carter,302,7287
302,Vince Carter,303,7308
303,Vince Carter,304,7326
304,Vince Carter,305,7347
305,Vince Carter,306,7375
306,Vince Carter,307,7395
307,Vince Carter,308,7413
308,Vince Carter,309,7430
309,Vince Carter,310,7458
310,Vince Carter,311,7497
311,Vince Carter,312,7523
312,Vince Carter,313,7538
313,Vince Carter,314,7557
314,Vince Carter,315,7575
315,Vince Carter,316,7609
316,Vince Carter,317,7642
317,Vince Carter,318,7665
318,Vince Carter,319,7678
319,Vince Carter,320,7696
320,Vince Carter,321,7716
321,Vince Carter,322,7737
322,Vince Carter,323,7752
323,Vince Carter,324,7795
324,Vince Carter,325,7815
325,Vince Carter,326,7823
326,Vince Carter,327,7844
327,Vince Carter,328,7865
328,Vince Carter,329,7887
329,Vince Carter,330,7917
330,Vince Carter,331,7939
331,Vince Carter,332,7974
332,Vince Carter,333,7986
333,Vince Carter,334,8007
334,Vince Carter,335,8023
335,Vince Carter,336,8041
336,Vince Carter,337,8058
337,Vince Carter,338,8088
338,Vince Carter,339,8110
339,Vince Carter,340,8125
340,Vince Carter,341,8147
341,Vince Carter,342,8170
342,Vince Carter,343,8184
343,Vince Carter,344,8196
344,Vince Carter,345,8216
345,Vince Carter,346,8243
346,Vince Carter,347,8245
347,Vince Carter,348,8253
348,Vince Carter,349,8267
349,Vince Carter,350,8284
350,Vince Carter,351,8315
351,Vince Carter,352,8342
352,Vince Carter,353,8375
353,Vince Carter,354,8386
354,Vince Carter,355,8404
355,Vince Carter,356,8426
356,Vince Carter,357,8455
357,Vince Carter,358,8474
358,Vince Carter,359,8495
359,Vince Carter,360,8517
360,Vince Carter,361,8544
361,Vince Carter,362,8560
362,Vince Carter,363,8592
363,Vince Carter,364,8618
364,Vince Carter,365,8646
365,Vince Carter,366,8665
366,Vince Carter,367,8697
367,Vince Carter,368,8721
368,Vince Carter,369,8751
369,Vince Carter,370,8793
370,Vince Carter,371,8823
371,Vince Carter,372,8849
372,Vince Carter,373,8889
373,Vince Carter,374,8905
374,Vince Carter,375,8927
375,Vince Carter,376,8948
376,Vince Carter,377,8966
377,Vince Carter,378,8998
378,Vince Carter,379,9013
379,Vince Carter,380,9031
380,Vince Carter,381,9061
381,Vince Carter,382,9080
382,Vince Carter,383,9103
383,Vince Carter,384,9119
384,Vince Carter,385,9131
385,Vince Carter,386,9156
386,Vince Carter,387,9168
387,Vince Carter,388,9184
388,Vince Carter,389,9199
389,Vince Carter,390,9203
390,Vince Carter,391,9224
391,Vince Carter,392,9238
392,Vince Carter,393,9259
393,Vince Carter,394,9263
394,Vince Carter,395,9288
395,Vince Carter,396,9310
396,Vince Carter,397,9329
397,Vince Carter,398,9355
398,Vince Carter,399,9360
399,Vince Carter,400,9381
400,Vince Carter,401,9393
401,Vince Carter,402,9415
402,Vince Carter,403,9420
403,Vince Carter,404,9443
404,Vince Carter,405,9468
405,Vince Carter,406,9493
406,Vince Carter,407,9509
407,Vince Carter,408,9540
408,Vince Carter,409,9555
409,Vince Carter,410,9577
410,Vince Carter,411,9593
411,Vince Carter,412,9612
412,Vince Carter,413,9629
413,Vince Carter,414,9658
414,Vince Carter,415,9681
415,Vince Carter,416,9714
416,Vince Carter,417,9739
417,Vince Carter,418,9771
418,Vince Carter,419,9794
419,Vince Carter,420,9811
420,Vince Carter,421,9841
421,Vince Carter,422,9871
422,Vince Carter,423,9902
423,Vince Carter,424,9924
424,Vince Carter,425,9965
425,Vince Carter,426,10008
426,Vince Carter,427,10035
427,Vince Carter,428,10078
428,Vince Carter,429,10101
429,Vince Carter,430,10133
430,Vince Carter,431,10154
431,Vince Carter,432,10176
432,Vince Carter,433,10202
433,Vince Carter,434,10230
434,Vince Carter,435,10264
435,Vince Carter,436,10296
436,Vince Carter,437,10323
437,Vince Carter,438,10343
438,Vince Carter,439,10356
439,Vince Carter,440,10380
440,Vince Carter,441,10400
441,Vince Carter,442,10433
442,Vince Carter,443,10463
443,Vince Carter,444,10486
444,Vince Carter,445,10525
445,Vince Carter,446,10558
446,Vince Carter,447,10580
447,Vince Carter,448,10596
448,Vince Carter,449,10635
449,Vince Carter,450,10666
450,Vince Carter,451,10697
451,Vince Carter,452,10718
452,Vince Carter,453,10745
453,Vince Carter,454,10777
454,Vince Carter,455,10822
455,Vince Carter,456,10844
456,Vince Carter,457,10883
457,Vince Carter,458,10926
